position_x,position_y,time,steps
0,0,0.003994,64
0,1,0.002999,64
0,2,0.001997,64
0,3,0.002999,64
0,4,0.002997,64
0,5,0.002,64
0,6,0.001998,64
0,7,0.001998,64
1,0,0.003,64
1,1,0.002,64
1,2,0.002,64
1,3,0.002002,64
1,4,0.002,64
1,5,0.003034,64
1,6,0.001998,64
1,7,0.002,64
2,0,0.001965,64
2,1,0.002998,64
2,2,0.002037,64
2,3,0.002999,64
2,4,0.002001,64
2,5,0.002,64
2,6,0.002,64
2,7,0.003,64
3,0,0.001997,64
3,1,0.002,64
3,2,0.001999,64
3,3,0.002001,64
3,4,0.002032,64
3,5,0.003001,123
3,6,0.001998,64
3,7,0.002,64
4,0,0.002001,64
4,1,0.002,64
4,2,0.003,64
4,3,0.002,64
4,4,0.004001,64
4,5,0.002998,64
4,6,0.002001,64
4,7,0.002996,64
5,0,0.001996,64
5,1,0.002035,64
5,2,0.001998,64
5,3,0.002999,64
5,4,0.002027,64
5,5,0.002999,123
5,6,0.002003,64
5,7,0.001996,64
6,0,0.001999,64
6,1,0.002031,64
6,2,0.001991,64
6,3,0.003009,64
6,4,0.002001,64
6,5,0.002999,64
6,6,0.003001,64
6,7,0.001968,64
7,0,0.003002,64
7,1,0.002,64
7,2,0.002033,64
7,3,0.001998,64
7,4,0.002001,64
7,5,0.003001,64
7,6,0.002034,64
7,7,0.002,64
