position_x,position_y,time,steps
2,1,0.002615,64
0,3,0.003143,64
5,0,0.001997,64
3,4,0.002315,64
1,2,0.003082,64
7,7,0.002094,64
7,6,0.002,64
0,3,0.003008,64
0,7,0.00197,64
1,6,0.002996,64
6,0,0.001727,64
5,3,0.003002,64
1,5,0.002909,64
3,2,0.001703,64
5,6,0.001998,64
6,2,0.003002,64
1,6,0.004028,64
1,3,0.002823,64
1,0,0.002654,64
2,1,0.002,64
3,4,0.003109,64
3,5,0.003089,64
6,4,0.002298,64
1,0,0.001997,64
5,0,0.002594,64
1,5,0.002996,64
0,5,0.002276,64
4,3,0.002759,64
0,1,0.002,123
2,5,0.003054,64
6,4,0.001999,64
4,7,0.002034,64
6,7,0.002542,64
6,3,0.002768,64
4,3,0.002032,64
4,7,0.003279,64
6,5,0.002218,123
5,7,0.004073,64
3,6,0.002,64
7,2,0.002392,64
0,2,0.00306,64
3,7,0.002999,64
1,0,0.003356,64
3,4,0.003007,64
6,5,0.002407,64
5,0,0.002998,64
4,4,0.002305,64
2,3,0.002143,64
3,1,0.002502,64
1,6,0.004003,64
1,1,0.002,64
5,7,0.003989,64
3,2,0.003999,64
5,7,0.003329,64
1,6,0.002819,64
0,3,0.004066,64
7,2,0.003242,64
6,7,0.003587,64
6,4,0.003999,64
2,3,0.004001,64
6,3,0.004002,64
2,0,0.003964,64
6,2,0.003107,64
5,3,0.003423,64
2,5,0.003731,64
3,7,0.004112,64
1,0,0.005001,64
4,1,0.004046,64
6,2,0.004033,64
2,0,0.005006,64
4,7,0.005995,64
5,6,0.004152,64
2,7,0.00408,64
0,4,0.003999,64
0,0,0.004428,64
7,5,0.003157,64
0,2,0.002997,64
2,7,0.003998,64
6,0,0.004002,64
1,4,0.003966,64
5,5,0.003996,64
6,4,0.003999,64
2,4,0.003996,64
6,7,0.004119,64
6,0,0.002998,64
4,3,0.003752,64
3,2,0.004,64
0,4,0.003407,64
3,7,0.003539,64
3,3,0.003034,64
3,3,0.0039,64
0,6,0.003997,64
7,2,0.005,64
0,6,0.004663,64
5,3,0.005102,64
4,4,0.003084,64
4,6,0.004995,64
2,4,0.003724,64
3,7,0.004,64
4,3,0.003083,64
0,2,0.002003,64
2,1,0.003,64
7,0,0.003098,64
2,4,0.002949,64
3,7,0.001998,64
1,3,0.003002,64
5,2,0.003002,64
3,4,0.001998,64
0,7,0.001998,64
6,5,0.003,64
1,1,0.002001,64
1,4,0.002002,64
3,4,0.002999,64
6,7,0.002086,64
1,4,0.001999,64
6,5,0.003034,64
6,6,0.001998,64
1,6,0.002093,64
1,6,0.002021,64
6,6,0.003002,64
5,2,0.003,64
2,1,0.002999,64
0,3,0.002043,64
