position_x,position_y,time,steps
0,0,0.003997,64
0,1,0.004999,64
0,2,0.003557,64
0,3,0.002999,64
0,4,0.002895,64
0,5,0.002024,64
0,6,0.001998,64
0,7,0.002002,64
1,0,0.002764,64
1,1,0.002091,64
1,2,0.003,64
1,3,0.002999,64
1,4,0.002,64
1,5,0.005111,64
1,6,0.003003,64
1,7,0.003809,64
2,0,0.005002,64
2,1,0.004002,64
2,2,0.002997,64
2,3,0.003363,64
2,4,0.003981,64
2,5,0.003001,64
2,6,0.002002,64
2,7,0.001998,64
3,0,0.003,64
3,1,0.003095,64
3,2,0.002994,64
3,3,0.002001,64
3,4,0.002,64
3,5,0.002943,64
3,6,0.003263,64
3,7,0.002999,64
4,0,0.001997,64
4,1,0.002998,64
4,2,0.002672,64
4,3,0.002987,64
4,4,0.002002,64
4,5,0.002504,64
4,6,0.001999,64
4,7,0.002743,64
5,0,0.00206,64
5,1,0.003028,64
5,2,0.002971,64
5,3,0.00307,64
5,4,0.003036,64
5,5,0.002999,123
5,6,0.003003,64
5,7,0.003,64
6,0,0.003003,64
6,1,0.002684,64
6,2,0.002071,64
6,3,0.003526,64
6,4,0.002036,113
6,5,0.002813,64
6,6,0.002995,64
6,7,0.003,64
7,0,0.002628,64
7,1,0.002995,64
7,2,0.002667,64
7,3,0.00301,64
7,4,0.002003,64
7,5,0.002999,64
7,6,0.002855,64
7,7,0.003,64
