position_x,position_y,time,steps
5,4,0.003996,64
5,4,0.004033,64
5,4,0.004034,64
5,4,0.003986,64
5,4,0.002965,64
5,4,0.003442,64
5,4,0.003404,64
5,4,0.003068,64
5,4,0.003169,64
5,4,0.002924,64
5,4,0.002514,64
5,4,0.003994,64
5,4,0.002875,64
5,4,0.002902,64
5,4,0.002031,64
5,4,0.00294,64
5,4,0.002052,64
5,4,0.002002,64
5,4,0.002235,64
5,4,0.002115,64
5,4,0.002528,64
5,4,0.003002,64
5,4,0.003022,64
5,4,0.002004,64
5,4,0.001995,64
5,4,0.002079,64
5,4,0.002064,64
5,4,0.003037,64
5,4,0.001962,64
5,4,0.002,64
5,4,0.003036,64
5,4,0.002,123
5,4,0.001998,64
5,4,0.009999,64
5,4,0.005131,64
5,4,0.003597,64
5,4,0.002083,64
5,4,0.003002,64
5,4,0.003998,64
5,4,0.004102,64
5,4,0.00401,64
5,4,0.006221,64
5,4,0.007986,64
5,4,0.002999,64
5,4,0.002987,64
5,4,0.002999,64
5,4,0.003001,64
5,4,0.003042,64
5,4,0.012024,64
5,4,0.003,64
5,4,0.003002,64
5,4,0.003,64
5,4,0.002051,64
5,4,0.002376,64
5,4,0.003002,64
5,4,0.002868,64
5,4,0.002896,64
5,4,0.003,64
5,4,0.002869,64
5,4,0.002043,64
5,4,0.003085,64
5,4,0.003029,64
5,4,0.001999,64
5,4,0.001968,64
5,4,0.00286,64
5,4,0.003,64
5,4,0.002984,64
5,4,0.003019,64
5,4,0.004002,64
5,4,0.002998,64
5,4,0.002003,64
5,4,0.002997,64
5,4,0.00308,64
5,4,0.002001,64
5,4,0.002201,64
5,4,0.003046,64
5,4,0.002302,64
5,4,0.003001,64
5,4,0.003943,64
5,4,0.002121,64
5,4,0.002225,64
5,4,0.003003,64
5,4,0.001975,64
5,4,0.002325,64
5,4,0.003038,64
5,4,0.002,64
5,4,0.002978,64
5,4,0.002103,64
5,4,0.004,64
5,4,0.00295,64
5,4,0.002875,64
5,4,0.002896,64
5,4,0.00187,64
5,4,0.003086,64
5,4,0.002025,64
5,4,0.002278,64
5,4,0.002996,64
5,4,0.001999,64
5,4,0.001999,64
5,4,0.001963,64
