position_x,position_y,time,steps
0,0,0.004002,64
0,1,0.002996,64
0,2,0.002029,64
0,3,0.003094,64
0,4,0.001998,64
0,5,0.001992,64
0,6,0.002389,64
0,7,0.001997,64
1,0,0.003043,64
1,1,0.002776,64
1,2,0.002001,64
1,3,0.002588,64
1,4,0.003136,64
1,5,0.003,64
1,6,0.002624,64
1,7,0.00204,64
2,0,0.002998,64
2,1,0.002,64
2,2,0.002627,64
2,3,0.002043,123
2,4,0.003,64
2,5,0.002002,64
2,6,0.00307,64
2,7,0.00313,64
3,0,0.003044,64
3,1,0.00318,64
3,2,0.001999,64
3,3,0.006996,64
3,4,0.002998,64
3,5,0.002999,64
3,6,0.002278,64
3,7,0.003036,64
4,0,0.002004,64
4,1,0.00203,64
4,2,0.003035,64
4,3,0.002033,64
4,4,0.002037,64
4,5,0.002062,64
4,6,0.001944,64
4,7,0.002034,64
5,0,0.002034,64
5,1,0.003001,64
5,2,0.005009,64
5,3,0.003104,64
5,4,0.002261,64
5,5,0.017284,64
5,6,0.003074,64
5,7,0.003005,64
6,0,0.001993,64
6,1,0.002038,64
6,2,0.002075,64
6,3,0.004999,64
6,4,0.002023,64
6,5,0.003051,64
6,6,0.002998,64
6,7,0.002037,64
7,0,0.00306,64
7,1,0.002003,64
7,2,0.002972,64
7,3,0.002028,64
7,4,0.002955,64
7,5,0.002058,64
7,6,0.003127,64
7,7,0.001999,64
